{'name': 'Дмитрий', 'surname': 'Куликов', 'midname': 'Вячеславович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 10', 'flat': '1', 'code': '127224', 'tele': 'NULL', 'post': 'nkpzapd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Георгий', 'surname': 'Петухов', 'midname': 'Романович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 19', 'flat': '36', 'code': '127081', 'tele': 'NULL', 'post': 'pqfbvwom@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Леонид', 'surname': 'Николаев', 'midname': 'Олегович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 34', 'flat': '6', 'code': '127081', 'tele': 'NULL', 'post': 'uqehpymu@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Всеволод', 'surname': 'Матвеев', 'midname': 'Егорович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 1В', 'flat': '30', 'code': '127221', 'tele': 'NULL', 'post': 'rghwysml@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Григорий', 'surname': 'Филиппов', 'midname': 'Константинович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 12', 'flat': '10', 'code': '127282', 'tele': 'NULL', 'post': 'fbjavrqn@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Всеволод', 'surname': 'Герасимов', 'midname': 'Федорович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 52 корпус 5', 'flat': '20', 'code': '127282', 'tele': 'NULL', 'post': 'jqnmfv@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Филипп', 'surname': 'Белоусов', 'midname': 'Васильевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 54 корпус 1', 'flat': '34', 'code': '127282', 'tele': 'NULL', 'post': 'gzpfuwxxk@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Савва', 'surname': 'Тарасов', 'midname': 'Валентинович', 'country': 'Россия', 'city': 'Москва', 'street': 'Осташковская улица', 'building': 'дом 26', 'flat': '41', 'code': '127224', 'tele': 'NULL', 'post': 'joiobcale@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Вадим', 'surname': 'Соколов', 'midname': 'Аркадьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 15 корпус 2', 'flat': '33', 'code': '127282', 'tele': 'NULL', 'post': 'lsojkjzk@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Ростислав', 'surname': 'Бобров', 'midname': 'Эдуардович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 8 корпус 2', 'flat': '31', 'code': '127081', 'tele': 'NULL', 'post': 'bwvuzwrgw@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Артём', 'surname': 'Борисов', 'midname': 'Ефимович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 35', 'flat': '45', 'code': '127221', 'tele': 'NULL', 'post': 'syywxhw@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Савва', 'surname': 'Андреев', 'midname': 'Кириллович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 14 корпус 1', 'flat': '48', 'code': '127221', 'tele': 'NULL', 'post': 'qfihsalxb@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Никита', 'surname': 'Киселев', 'midname': 'Вольфович', 'country': 'Россия', 'city': 'Москва', 'street': 'Широкая улица', 'building': 'дом 19 корпус 3', 'flat': '29', 'code': '127224', 'tele': 'NULL', 'post': 'wzruxt@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Игнат', 'surname': 'Денисов', 'midname': 'Филиппович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 14 корпус 1', 'flat': '1', 'code': '127221', 'tele': 'NULL', 'post': 'thohnr@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Василий', 'surname': 'Громов', 'midname': 'Матвеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 2 корпус 1', 'flat': '1', 'code': '127282', 'tele': 'NULL', 'post': 'rlymrge@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Николай', 'surname': 'Петухов', 'midname': 'Егорович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 1 корпус 1', 'flat': '10', 'code': '127282', 'tele': 'NULL', 'post': 'jaqzls@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Станислав', 'surname': 'Федоров', 'midname': 'Борисович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 22', 'flat': '23', 'code': '127224', 'tele': 'NULL', 'post': 'uedwvioqu@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Платон', 'surname': 'Комаров', 'midname': 'Тарасович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 9', 'flat': '19', 'code': '127081', 'tele': 'NULL', 'post': 'sndeotk@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Всеволод', 'surname': 'Воробьев', 'midname': 'Андреевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 19', 'flat': '31', 'code': '127081', 'tele': 'NULL', 'post': 'utayoaqj@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Рустам', 'surname': 'Ширяев', 'midname': 'Андреевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 22', 'flat': '8', 'code': '127224', 'tele': 'NULL', 'post': 'blqswlt@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Даниил', 'surname': 'Коновалов', 'midname': 'Анатольевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 19', 'flat': '5', 'code': '127282', 'tele': 'NULL', 'post': 'embgwcp@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Егор', 'surname': 'Федоров', 'midname': 'Геннадиевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 18', 'flat': '32', 'code': '127224', 'tele': 'NULL', 'post': 'oejzhpfi@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Павел', 'surname': 'Яковлев', 'midname': 'Максимович', 'country': 'Россия', 'city': 'Москва', 'street': 'Осташковская улица', 'building': 'дом 30', 'flat': '40', 'code': '127224', 'tele': 'NULL', 'post': 'xbfgcwxyo@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Герман', 'surname': 'Пономарев', 'midname': 'Олегович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 11', 'flat': '33', 'code': '127224', 'tele': 'NULL', 'post': 'vlfrgoy@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Альберт', 'surname': 'Иванов', 'midname': 'Павлович', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 7', 'flat': '20', 'code': '127282', 'tele': 'NULL', 'post': 'qygnygbp@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Максим', 'surname': 'Богданов', 'midname': 'Вольфович', 'country': 'Россия', 'city': 'Москва', 'street': 'Сухонская улица', 'building': 'дом 7А', 'flat': '47', 'code': '127642', 'tele': 'NULL', 'post': 'oobxiuhzn@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Филипп', 'surname': 'Алексеев', 'midname': 'Кириллович', 'country': 'Россия', 'city': 'Москва', 'street': 'Осташковская улица', 'building': 'дом 30', 'flat': '12', 'code': '127224', 'tele': 'NULL', 'post': 'ciecuaess@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Владимир', 'surname': 'Блинов', 'midname': 'Аркадьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 30 корпус 1', 'flat': '22', 'code': '127642', 'tele': 'NULL', 'post': 'vensxcp@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Матвей', 'surname': 'Цветков', 'midname': 'Северинович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 5', 'flat': '17', 'code': '127081', 'tele': 'NULL', 'post': 'fbmmjpmlv@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Савва', 'surname': 'Федотов', 'midname': 'Владимирович', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 15 корпус 2', 'flat': '22', 'code': '127282', 'tele': 'NULL', 'post': 'wvceedzj@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Артемий', 'surname': 'Белов', 'midname': 'Евгеньевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 9', 'flat': '14', 'code': '127081', 'tele': 'NULL', 'post': 'nmzqfsgi@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Лев', 'surname': 'Волков', 'midname': 'Олегович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 2 корпус 4', 'flat': '20', 'code': '127221', 'tele': 'NULL', 'post': 'swzymtugf@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Ярослав', 'surname': 'Алексеев', 'midname': 'Яковлевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 11', 'flat': '6', 'code': '127224', 'tele': 'NULL', 'post': 'qsrbniwq@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Николай', 'surname': 'Титов', 'midname': 'Матвеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 26 корпус 2', 'flat': '11', 'code': '127224', 'tele': 'NULL', 'post': 'hrmcwh@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Георгий', 'surname': 'Денисов', 'midname': 'Феликсович', 'country': 'Россия', 'city': 'Москва', 'street': 'Осташковская улица', 'building': 'дом 26', 'flat': '48', 'code': '127224', 'tele': 'NULL', 'post': 'krrhtfcv@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Борис', 'surname': 'Марков', 'midname': 'Геннадиевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 56 корпус 1', 'flat': '5', 'code': '127282', 'tele': 'NULL', 'post': 'vygwleok@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Рустам', 'surname': 'Лебедев', 'midname': 'Геннадиевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Широкая улица', 'building': 'дом 3', 'flat': '18', 'code': '127282', 'tele': 'NULL', 'post': 'kfhedtja@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Даниэль', 'surname': 'Григорьев', 'midname': 'Антонович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 50', 'flat': '39', 'code': '127282', 'tele': 'NULL', 'post': 'bhkmsep@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Виталий', 'surname': 'Давыдов', 'midname': 'Григорьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 52 корпус 5', 'flat': '47', 'code': '127282', 'tele': 'NULL', 'post': 'mrzvsm@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Алексей', 'surname': 'Большаков', 'midname': 'Матвеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 2 корпус 4', 'flat': '35', 'code': '127221', 'tele': 'NULL', 'post': 'apxixxkp@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Вадим', 'surname': 'Колесников', 'midname': 'Платонович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 1В', 'flat': '28', 'code': '127221', 'tele': 'NULL', 'post': 'modsfbnx@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Даниэль', 'surname': 'Яковлев', 'midname': 'Ярославович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 26', 'flat': '33', 'code': '127224', 'tele': 'NULL', 'post': 'zwpvcmdji@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Евгений', 'surname': 'Веселов', 'midname': 'Максимович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 32 корпус 1', 'flat': '3', 'code': '127081', 'tele': 'NULL', 'post': 'miazsw@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Андрей', 'surname': 'Федоров', 'midname': 'Алексеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 27 корпус 1', 'flat': '36', 'code': '127081', 'tele': 'NULL', 'post': 'vsjshld@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Рустам', 'surname': 'Киселев', 'midname': 'Романович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 8 корпус 3', 'flat': '4', 'code': '127081', 'tele': 'NULL', 'post': 'wurvyec@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Роман', 'surname': 'Титов', 'midname': 'Матвеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 7', 'flat': '28', 'code': '127282', 'tele': 'NULL', 'post': 'cpfswtc@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Олег', 'surname': 'Богданов', 'midname': 'Романович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 50', 'flat': '10', 'code': '127282', 'tele': 'NULL', 'post': 'fllrbeshz@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Роман', 'surname': 'Кузьмин', 'midname': 'Васильевич', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Молодцова', 'building': 'дом 9', 'flat': '47', 'code': '127221', 'tele': 'NULL', 'post': 'ogscnlx@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Леонид', 'surname': 'Шестаков', 'midname': 'Сергеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Широкая улица', 'building': 'дом 3', 'flat': '14', 'code': '127282', 'tele': 'NULL', 'post': 'qctrzosb@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Алексей', 'surname': 'Миронов', 'midname': 'Филиппович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 52 корпус 1', 'flat': '12', 'code': '127282', 'tele': 'NULL', 'post': 'vaclcnlj@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Павел', 'surname': 'Королев', 'midname': 'Ефимович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 22', 'flat': '6', 'code': '127224', 'tele': 'NULL', 'post': 'jzzirb@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Ярослав', 'surname': 'Киселев', 'midname': 'Владимирович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 2 корпус 1', 'flat': '42', 'code': '127282', 'tele': 'NULL', 'post': 'xahavxb@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Лев', 'surname': 'Шестаков', 'midname': 'Кириллович', 'country': 'Россия', 'city': 'Москва', 'street': 'Сухонская улица', 'building': 'дом 1А', 'flat': '31', 'code': '127642', 'tele': 'NULL', 'post': 'jybxedqts@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Александр', 'surname': 'Жуков', 'midname': 'Игнатьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 2', 'flat': '33', 'code': '127221', 'tele': 'NULL', 'post': 'prevsb@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Елисей', 'surname': 'Суханов', 'midname': 'Григорьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 22', 'flat': '3', 'code': '127224', 'tele': 'NULL', 'post': 'ipolhep@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Богдан', 'surname': 'Попов', 'midname': 'Валерьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 11', 'flat': '31', 'code': '127224', 'tele': 'NULL', 'post': 'iljifva@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Степан', 'surname': 'Тарасов', 'midname': 'Робертович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 19', 'flat': '20', 'code': '127224', 'tele': 'NULL', 'post': 'daxfxo@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Роман', 'surname': 'Захаров', 'midname': 'Иванович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 5 корпус 1', 'flat': '43', 'code': '127642', 'tele': 'NULL', 'post': 'qhovidyb@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Валерий', 'surname': 'Ефимов', 'midname': 'Валерьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 18', 'flat': '2', 'code': '127081', 'tele': 'NULL', 'post': 'hehxsjny@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Константин', 'surname': 'Павлов', 'midname': 'Феликсович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 18', 'flat': '46', 'code': '127224', 'tele': 'NULL', 'post': 'pqnrjs@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Олег', 'surname': 'Александров', 'midname': 'Сергеевич', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 7', 'flat': '39', 'code': '127282', 'tele': 'NULL', 'post': 'yebybf@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Тамерлан', 'surname': 'Сергеев', 'midname': 'Богданович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 4', 'flat': '21', 'code': '127224', 'tele': 'NULL', 'post': 'flxjebpm@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Федор', 'surname': 'Соболев', 'midname': 'Владимирович', 'country': 'Россия', 'city': 'Москва', 'street': 'Ясный проезд', 'building': 'дом 32 корпус 1', 'flat': '22', 'code': '127081', 'tele': 'NULL', 'post': 'gltwgqpgz@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Макар', 'surname': 'Ширяев', 'midname': 'Эдуардович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 7', 'flat': '19', 'code': '127224', 'tele': 'NULL', 'post': 'pfgysh@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Денис', 'surname': 'Бобров', 'midname': 'Владимирович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 14', 'flat': '20', 'code': '127282', 'tele': 'NULL', 'post': 'zhimpegm@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Юрий', 'surname': 'Баранов', 'midname': 'Ефимович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 27 корпус 1', 'flat': '4', 'code': '127081', 'tele': 'NULL', 'post': 'agmeia@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Сергей', 'surname': 'Громов', 'midname': 'Исаакович', 'country': 'Россия', 'city': 'Москва', 'street': 'Студёный проезд', 'building': 'дом 18', 'flat': '48', 'code': '127224', 'tele': 'NULL', 'post': 'dizhqhkj@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
